listing_name,address,nickname,property_type,bedrooms,bathrooms,accommodates,active,total_revenue,total_bookings,total_nights,airbnb_total,vrbo_total,booking_com_total,direct_total
LA - ARTIST LOFT,"1920 N Main St, Los Angeles, CA 90031, USA",LA - ARTIST LOFT,House,2,1.0,6,True,0.0,0,0,0.0,0.0,0.0,0.0
LA - Loft B5,"1920 N Main St, Los Angeles, CA 90031, USA",LA - Loft B5,House,2,1.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
LA - Loft B5 # 2,"1920 N Main St, Los Angeles, CA 90031, USA",LA - Loft B5 # 2,House,1,0.0,6,True,0.0,0,0,0.0,0.0,0.0,0.0
LA TEST UNIT 2,"314 N Chicago St, Los Angeles, CA 90033, USA",LA TEST UNIT 2,House,2,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
LBC - Test 1,"1310 E Ocean Blvd, Long Beach, CA 90802, USA",LBC - Test 1,Apartment,2,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
LBC - Test 2,"1310 E Ocean Blvd, Long Beach, CA 90802, USA",LBC - Test 2,Apartment,2,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
LB - LBC-1411 -2/2,"East Ocean Boulevard, Long Beach, CA 90802, United States",LB - LBC-1411 -2/2,Apartment,2,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
LB - LBC-1411 - NEW,"E Ocean Blvd, Long Beach, CA 90802, USA",LB - LBC-1411 - NEW,Apartment,2,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
LB - LBC-1502,"East Ocean Boulevard, Long Beach, CA 90802, United States",LB - LBC-1502,Apartment,2,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
LB - TEMP 1,"150 W Ocean Blvd, Long Beach, CA 90802, USA",LB - TEMP 1,Apartment,2,0.0,2,False,0.0,0,0,0.0,0.0,0.0,0.0
LB - TEMP 2,"150 W Ocean Blvd, Long Beach, CA 90802, USA",LB - TEMP 2,Apartment,2,0.0,2,False,0.0,0,0,0.0,0.0,0.0,0.0
LB - TEMP 3,"149 W Ocean Blvd, Long Beach, CA 90802, USA",LB - TEMP 3,Apartment,2,0.0,2,False,0.0,0,0,0.0,0.0,0.0,0.0
LB - TEMP 4,"151 W Ocean Blvd, Long Beach, CA 90802, USA",LB - TEMP 4,Apartment,2,0.0,2,False,0.0,0,0,0.0,0.0,0.0,0.0
Linea1 V2,"215 W Lake St, Chicago, IL 60606, USA",Linea1 V2,Apartment,1,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
Linea2,"215 w Lake St. #2910, Chicago, IL 60606, United States",Linea2,Apartment,3,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
Linea2 V2,"215 W Lake St #2910, Chicago, IL 60606, USA",Linea2 V2,Apartment,1,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
MIA - FILL - TEST,"1657 N Miami Ave, Miami, FL 33136, USA",MIA - FILL - TEST,Apartment,2,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
OAK MULTI (Master),"220 W Illinois St, Chicago, IL 60654, USA",OAK MULTI (Master),Apartment,2,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
Ocean Front 3b/2b Huge Balcony Right on the Sand,"The Strand, Manhattan Beach, CA 90266, United States",Ocean Front 3b/2b Huge Balcony Right on the Sand,Apartment,3,0.0,5,False,0.0,0,0,0.0,0.0,0.0,0.0
OLD-OAK 1202,"220 West Illinois Street, Chicago, IL 60654, United States",OLD-OAK 1202,Apartment,2,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
OLD--OAK 709,"220 W Illinois St, Chicago, IL 60654, USA",OLD--OAK 709,Apartment,1,1.0,4,False,0.0,0,0,0.0,0.0,0.0,0.0
OLD-- OAK DALLAS 536,"2901 Cityplace W Blvd, Dallas, TX 75204, USA",OLD-- OAK DALLAS 536,Apartment,2,0.0,5,False,0.0,0,0,0.0,0.0,0.0,0.0
OLD --OAK DALLAS 636,"2901 Cityplace W Blvd, Dallas, TX 75204, USA",OLD --OAK DALLAS 636,Apartment,2,0.0,5,False,0.0,0,0,0.0,0.0,0.0,0.0
Old Opt 3807,"North Saint Clair Street, Chicago, IL 60611, United States",Old Opt 3807,Apartment,3,0.0,7,False,0.0,0,0,0.0,0.0,0.0,0.0
Opt 3901,"200 E Illinois St, Chicago, IL 60611, USA",Opt 3901,Apartment,3,0.0,8,False,0.0,0,0,0.0,0.0,0.0,0.0
Paradis,"2753 Paradise Street, Pomona, CA 91767, United States",Paradis,House,5,0.0,7,False,0.0,0,0,0.0,0.0,0.0,0.0
PIT - CORK - 1410,"Armstrong Cork Factory - Warehouse Building, 2359 Railroad St, Pittsburgh, PA 15222, USA",PIT - CORK - 1410,Apartment,2,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
PIT - CORK - 1610,"Armstrong Cork Factory - Warehouse Building, 2359 Railroad St, Pittsburgh, PA 15222, USA",PIT - CORK - 1610,Apartment,2,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
PIT - CORK - 2412,"Armstrong Cork Factory - Warehouse Building, 2359 Railroad St, Pittsburgh, PA 15222, USA",PIT - CORK - 2412,Apartment,2,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
PIT - CORK - 2512,"Armstrong Cork Factory - Warehouse Building, 2359 Railroad St, Pittsburgh, PA 15222, USA",PIT - CORK - 2512,Apartment,2,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
PIT - CORK - 2612,"Armstrong Cork Factory - Warehouse Building, 2359 Railroad St, Pittsburgh, PA 15222, USA",PIT - CORK - 2612,Apartment,2,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
SBN - STJ - TEST 1,"307 East Lasalle Avenue, South Bend, Indiana 46617, United States",SBN - STJ - TEST 1,Apartment,2,1.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
Sienna,"423 E Ohio St, Chicago, IL 60611, USA",Sienna,Apartment,2,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
SLC - REG - 307,"South 600 East 33, 84102-1000 Salt Lake City, United States",SLC - REG - 307,Apartment,2,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
SLC - REG - 407,"33 S 600 E, Salt Lake City, UT 84102, USA",SLC - REG - 407,Apartment,2,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
SLC - REG - 507,"33 S 600 E, Salt Lake City, UT 84102, USA",SLC - REG - 507,Apartment,2,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
SLC - REG - 525,"33 S 600 E, Salt Lake City, UT 84102, USA",SLC - REG - 525,Apartment,2,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
TEST - DC 2,"1630 Columbia Rd NW, Washington, DC 20009, USA",TEST - DC 2,Apartment,2,0.0,4,False,0.0,0,0,0.0,0.0,0.0,0.0
TEST - LV - 1,"Campaign Place, 211 N 8th St, Las Vegas, NV 89101, USA",TEST - LV - 1,Apartment,2,0.0,4,False,0.0,0,0,0.0,0.0,0.0,0.0
TEST - MADISON 1,"5601 Fraser Circle, Madison, Wisconsin 53718, United States",TEST - MADISON 1,Apartment,2,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
TEST - NY - 1,"112 E 74th St, New York, NY 10021, USA",TEST - NY - 1,Apartment,2,0.0,4,False,0.0,0,0,0.0,0.0,0.0,0.0
WES220 (1),"220 West Illinois Street, Chicago, IL 60654, United States",WES220 (1),Apartment,2,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
x2b/2b Great Views from Old Town,"North Clark Street, Chicago, IL 60614, United States",x2b/2b Great Views from Old Town,Apartment,2,2.0,5,False,0.0,0,0,0.0,0.0,0.0,0.0
xAmazing Lake  River View Apartment,"355 East Grand Avenue, Chicago, IL 60611, United States",xAmazing Lake  River View Apartment,Apartment,1,0.0,4,False,0.0,0,0,0.0,0.0,0.0,0.0
xLuxury 2b/2b Balcony Huge Views,"West Fulton Street, Chicago, IL 60661, United States",xLuxury 2b/2b Balcony Huge Views,Apartment,2,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
xx3 test,"Chicago, IL 60601, United States",xx3 test,Apartment,1,2.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
y2b/2b  Huge Indoor Pool Roof Deck,"West Wacker Drive, Chicago, IL 60601, United States",y2b/2b  Huge Indoor Pool Roof Deck,Apartment,2,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
z1b/1b 20th Floor Luxury @Navy Pier,"526 North Peshtigo Court, Chicago, IL 60611, United States",z1b/1b 20th Floor Luxury @Navy Pier,Apartment,1,0.0,4,False,0.0,0,0,0.0,0.0,0.0,0.0
z2b/2b Amazing Apartment!,"North Harbor Tower, 175 North Harbor Drive, Chicago, IL 60601, United States",z2b/2b Amazing Apartment!,Apartment,3,0.0,7,False,0.0,0,0,0.0,0.0,0.0,0.0
z2b/2b Best place to stay in Chicago,"35 West Wacker Drive, Chicago, IL 60601, United States",z2b/2b Best place to stay in Chicago,Serviced apartment,1,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
z2b/2b Super Luxury in Best Building,"500 North Saint Clair Street, Chicago, IL 60611, United States",z2b/2b Super Luxury in Best Building,Cave,1,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
z2b/2b Super Stay,"441 West Erie Street, Chicago, IL 60654, United States",z2b/2b Super Stay,Condominium,1,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
z2b/2b Sweet digs,"55 West Wacker Drive, Chicago, IL 60601, United States",z2b/2b Sweet digs,Island,1,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
z3B/3B Uber Lux SuperBowl HQ Corner,"One Rincon Hill, 425 1st Street, San Francisco, CA 94105, United States",z3B/3B Uber Lux SuperBowl HQ Corner,Apartment,1,3.0,8,False,0.0,0,0,0.0,0.0,0.0,0.0
zSpring in LES from $595/nt Huge1/1,"167 Eldridge St 3b, New York, NY 10002, United States",zSpring in LES from $595/nt Huge1/1,Apartment,1,0.0,5,False,0.0,0,0,0.0,0.0,0.0,0.0
zz,"121 Norfolk St 2nd floor, New York, NY 10002, United States",zz,Apartment,1,1.0,4,False,0.0,0,0,0.0,0.0,0.0,0.0
zz,"Ludlow St 4F, New York, NY 10002, United States",zz,Apartment,1,1.0,5,False,0.0,0,0,0.0,0.0,0.0,0.0
zz,"350 W 42nd St 11J, New York, NY 10036, United States",zz,Apartment,1,1.0,3,False,0.0,0,0,0.0,0.0,0.0,0.0
Рядом Экспоцентр 100м евроремонт,"Krasnopresnenskaya naberezhnaya, 2/1, Moscow, 123100, Russia",Рядом Экспоцентр 100м евроремонт,Apartment,1,0.0,6,False,0.0,0,0,0.0,0.0,0.0,0.0
